X,Z
-114.27273016683414,-272.6818305990303
-114.2190595188261,-273.64064765643496
-114.15445755499603,-274.5576665920924
-114.09156144277588,-275.5179460015081
-114.0857201313407,-276.45785312383003
-114.08965918260652,-277.3450371339556
-114.02520625181283,-278.24398812437136
-113.97623598582467,-279.1386911345234
-113.85980882334785,-279.9972842357703
-113.80241721252175,-280.896945437509
-113.76321488555983,-281.80614054537705
-113.75790814099908,-282.7453262957048
-113.66072693276143,-283.63818113612984
-113.61023513325432,-284.548302508101
-113.54003175068993,-285.44957180913127
-113.51350167207993,-286.3631151111008
-113.48257093534573,-287.2602374352032
-113.48268939396534,-288.17953158158485
-113.53728300019601,-289.0805375350776
-113.4545106971551,-289.99659742647674
-113.43488195099124,-290.9111617723944
-113.37063193187322,-291.8135768516028
-113.30310435403638,-292.73323508393
-113.23482489297326,-293.65835861734496
-113.19410452119448,-294.57146973186263
-113.16100177247715,-295.4942049871177
-113.13457191819833,-296.42809544680193
-113.07204963421609,-297.3358421162689
-112.98474098012132,-298.26273110645343
-112.97833480875939,-299.17929961219903
-112.99530931846313,-300.0990904449603
-112.8272099413993,-301.0033681095873
-112.71316958122199,-301.9081352168643
-112.67211562046381,-302.83023790049236
-112.60601395499552,-303.7549479513058
-112.55698083250508,-304.6784935733754
-112.58304823985556,-305.60631766549943
-112.46628991100961,-306.5223726580104
-112.47255994435007,-307.44773192853654
-111.57915517525169,-307.8479147926727
-111.55955023206937,-308.77502351866997
-111.48902076431663,-309.70723503257415
-111.4381464335941,-310.63255427841887
-111.11188876894957,-311.50436395830803
-110.97340865151564,-312.39645387573364
-110.76227440885505,-313.27935918118794
-110.4450331912765,-314.13457980198433
-110.36671655287584,-315.06691598624917
-110.10691870542442,-315.95785487031986
-110.05151549575004,-316.8695015140076
-109.95566871572895,-317.79395156483076
-109.6811214965831,-318.6612917405308
-109.0658103293921,-319.3798620683584
-108.80231527343466,-320.2567179757389
-108.59390499691966,-321.1539467979673
-108.28991358944025,-321.9975769717578
-108.02093824292002,-322.8807397520152
-107.92118971391461,-323.80083388681544
-107.71279899189659,-324.6871598899421
-107.52668637837566,-325.5698139015363
-107.33972830059504,-326.47033318626075
